type	latitude	longitude	name	desc
T	18.0318725	-67.1944857		Length: 5.507 km (3.422 mi)
T	18.0315461	-67.1938419
T	18.0313012	-67.1933270
T	18.0308115	-67.1925116
T	18.0305259	-67.1919107
T	18.0303218	-67.1911383
T	18.0297913	-67.1902800
T	18.0286895	-67.1887350
T	18.0283630	-67.1879625
T	18.0277509	-67.1868467
T	18.0274652	-67.1859026
T	18.0270572	-67.1848726
T	18.0264450	-67.1831560
T	18.0261594	-67.1822119
T	18.0257921	-67.1812248
T	18.0253432	-67.1802807
T	18.0250575	-67.1795511
T	18.0246494	-67.1787786
T	18.0241189	-67.1776628
T	18.0234252	-67.1759462
T	18.0223641	-67.1748734
T	18.0214255	-67.1745729
T	18.0203644	-67.1742725
T	18.0193850	-67.1741438
T	18.0182423	-67.1741009
T	18.0170179	-67.1741438
T	18.0159569	-67.1744013
T	18.0149774	-67.1746159
T	18.0143244	-67.1748304
T	18.0137122	-67.1753454
T	18.0126511	-67.1759033
T	18.0122022	-67.1764183
T	18.0116308	-67.1769333
T	18.0107738	-67.1776628
T	18.0101616	-67.1787786
T	18.0096718	-67.1802378
T	18.0092637	-67.1817827
T	18.0088556	-67.1829414
T	18.0083658	-67.1842718
T	18.0079169	-67.1855593
T	18.0075087	-67.1865034
T	18.0071822	-67.1874905
T	18.0068557	-67.1886492
T	18.0062435	-67.1899366
T	18.0059170	-67.1909666
T	18.0052640	-67.1921253
T	18.0048559	-67.1928978

