type	latitude	longitude	name	desc
T	18.0299954	-67.1916103
T	18.0295873	-67.1904945
T	18.0290976	-67.1895504
T	18.0286895	-67.1883488
T	18.0283630	-67.1873188
T	18.0277917	-67.1862888
T	18.0273836	-67.1852589
T	18.0269755	-67.1842289
T	18.0264858	-67.1828556
T	18.0260778	-67.1816540
T	18.0254248	-67.1802807
T	18.0247719	-67.1789932
T	18.0242822	-67.1780491
T	18.0237108	-67.1770191
T	18.0227314	-67.1764183
T	18.0219152	-67.1757317
T	18.0206093	-67.1753025
T	18.0195482	-67.1752167
T	18.0185688	-67.1753025
T	18.0174261	-67.1753025
T	18.0163650	-67.1754742
T	18.0153855	-67.1758175
T	18.0144877	-67.1763325
T	18.0137530	-67.1766758
T	18.0126103	-67.1776199
T	18.0117941	-67.1781349
T	18.0110594	-67.1789932
T	18.0107329	-67.1798515
T	18.0101616	-67.1812248
T	18.0093453	-67.1826839
T	18.0086107	-67.1844864
T	18.0079577	-67.1862030
T	18.0074679	-67.1879196
T	18.0066517	-67.1899796
T	18.0060803	-67.1914387
T	18.0054273	-67.1931553
T	18.0048559	-67.1947861
T	18.0048559	-67.1951861
T	18.0054273	-67.1935553
T	18.0060803	-67.1918387
T	18.0066517	-67.1903796
T	18.0074679	-67.1883196
T	18.0079577	-67.1866030
T	18.0086107	-67.1848864
T	18.0093453	-67.1830839
T	18.0101616	-67.1816248
T	18.0107329	-67.1802515
T	18.0110594	-67.1793932
T	18.0117941	-67.1785349
T	18.0126103	-67.1780199
T	18.0137530	-67.1770758
T	18.0144877	-67.1767325
T	18.0153855	-67.1762175
T	18.0163650	-67.1758742
T	18.0174261	-67.1757025
T	18.0185688	-67.1757025
T	18.0195482	-67.1756167
T	18.0206093	-67.1757025
T	18.0219152	-67.1761317
T	18.0227314	-67.1768183
T	18.0237108	-67.1774191
T	18.0242822	-67.1784491
T	18.0247719	-67.1793932
T	18.0254248	-67.1806807
T	18.0260778	-67.1820540
T	18.0264858	-67.1832556
T	18.0269755	-67.1846289
T	18.0273836	-67.1856589
T	18.0277917	-67.1866888
T	18.0283630	-67.1877188
T	18.0286895	-67.1887488
T	18.0290976	-67.1899504
T	18.0295873	-67.1908945
T	18.0299954	-67.1920103
T	18.0299954	-67.1924103
T	18.0295873	-67.1912945
T	18.0290976	-67.1903504
T	18.0286895	-67.1891488
T	18.0283630	-67.1881188
T	18.0277917	-67.1870888
T	18.0273836	-67.1860589
T	18.0269755	-67.1850289
T	18.0264858	-67.1836556
T	18.0260778	-67.1824540
T	18.0254248	-67.1810807
T	18.0247719	-67.1797932
T	18.0242822	-67.1788491
T	18.0237108	-67.1778191
T	18.0227314	-67.1772183
T	18.0219152	-67.1765317
T	18.0206093	-67.1761025
T	18.0195482	-67.1760167
T	18.0185688	-67.1761025
T	18.0174261	-67.1761025
T	18.0163650	-67.1762742
T	18.0153855	-67.1766175
T	18.0144877	-67.1771325
T	18.0137530	-67.1774758
T	18.0126103	-67.1784199
T	18.0117941	-67.1789349
T	18.0110594	-67.1797932
T	18.0107329	-67.1806515
T	18.0101616	-67.1820248
T	18.0093453	-67.1834839
T	18.0086107	-67.1852864
